Nom,Endroit,Date,Valeur,Type subvention,Objectif,Observations
AIDS New Brunswick/SIDA Nouveau-Brunswick Inc.,Fredericton (Nouveau-Brunswick) Canada,03/30/2012,"411 540,00 $",Contribution,"Le but du projet est de sensibiliser davantage les populations prioritaires et mieux faire connaître aux personnes atteintes du VIH/sida les soins, les traitements et les mesures de soutien possibles.",Déclaration tardive
ALDERGROVE NEIGHBOURHOOD SERVICES SOCIETY,Aldergrove (Colombie-Britannique) Canada,09/30/2010,"240 228,00 $",Contribution,Le but du projet est de promouvoir une issue normale des grossesses des clientes à risque élevé qui ne recourent généralement pas aux programmes prénatals traditionnels.,"Modification à l'octroi précédent de 231 600,00 $"
Aldergrove Neighbourhood Services Society,Aldergrove (Colombie-Britannique) Canada,03/21/2012,"576 468,00 $",Contribution,Le but du projet est de promouvoir une issue normale des grossesses des clientes à risque élevé qui ne recourent généralement pas aux programmes prénatals traditionnels.,"Modification à l'octroi précédent de 274 868,00 $"
Algoma Family Services,Sault Ste. Marie (Ontario) Canada,03/30/2012,"1384 200,00 $",Contribution,Le but du projet est d'appuyer les familles qui ont des enfants de la naissance à l'âge de six ans qui vivent dans des conditions à risque.,"Modification à l'octroi précédent de 694 600,00 $Financement;Durée"
Arctic Institute of Community-Based Research,Whitehorse (Yukon) Canada,07/23/2012,"91 006,00 $",Contribution,"Le but du projet est de réduire le taux de blessures et de commotions cérébrales, les noyades et les fractures aux enfants et aux jeunes qui vivent au Yukon âgés de 0-19 ans.",
Association des stations de ski du Québec,Anjou (Québec) Canada,07/23/2012,"72 284,00 $",Contribution,"Le but du projet est de sensibiliser les enfants, les jeunes et leurs familles sur la prévention des blessures dans les sports liés au ski, et de réduire les blessures évitables.",
Association of Neighbourhood Houses of British Columbia,Vancouver (Colombie-Britannique) Canada,03/23/2012,"871 861,00 $",Contribution,"Le but du projet est d'appuyer la santé et le bien-être des enfants, depuis la conception jusqu'à six ans, et leurs familles.","Modification à l'octroi précédent de 658 805,00 $"
Beendigen Inc.,Thunder Bay (Ontario) Canada,03/14/2012,"513 300,00 $",Contribution,"Le but du projet est d'accroître l'attention portée à la promotion de la santé, à la formation et au soutien familial, à la sensibilisation des femmes enceintes et au soutien des jeunes enfants autochtones.","Modification à l'octroi précédent de 244 420,00 $Financement,Durée"
Blackfoot Family Lodge Society,Lethbridge (Alberta) Canada,03/29/2012,"561 326,00 $",Contribution,Le but du projet est d'offrir un soutien et des services d'aide préscolaire aux autochtones de 3 à 6 ans à risque.,"Modification à l'octroi précédent de 498 956,00 $"
Boys and Girls Clubs of Canada,Toronto (Ontario) Canada,09/26/2012,"200 000,00 $",Contribution,Le but du projet est d'offrir aux enfants et aux jeunes des possibilités accrues pour l'activité physique et la saine alimentation au cours de la période après l'école.,
B.C. ABORIGINAL CHILD CARE SOCIETY,West Vancouver (Colombie-Britannique) Canada,02/18/2011,"654 800,00 $",Contribution,"Le but du projet est d'offrir des expériences en milieu préscolaire comprenant des éléments culturels et linguistiques autochtones ainsi que des éléments d'éducation, de promotion de la santé, de nutrition, de soutien social et de participation des parents et de la famille.","Modification à l'octroi précédent de 650 000,00 $"
Canada Fetal Alcohol Spectrum Disorder Research Network,Vancouver (Colombie-Britannique) Canada,08/31/2012,"249 786,00 $",Contribution,Le but du projet est d'aider les professionnels de la santé et les professionnels paramédicaux à diagnostiquer l'Ensemble des troubles causés par l'alcoolisation foetale (ETCAF) de manière plus cohérente et efficace.,
Canadian Institute for Health Information,Ottawa (Ontario) Canada,09/28/2012,"2486 100,00 $",Contribution,Le but du projet est de travailler en collaboration avec le Réseau canadien des cliniques de la sclérose en plaques (SP) et avec la Société canadienne de la SP afin de concevoir le Système canadien de surveillance de la sclérose en plaques.,"Modification à l'octroi précédent de 2 286 100,00 $"
Canadian Pharmacists Association,Ottawa (Ontario) Canada,09/05/2012,"378 735,00 $",Contribution,Le but du projet est d'élaborer des outils permettant aux pharmaciens de mieux aider les patients atteints de diabète ou qui risquent de développer cette maladie.,"Modification à l'octroi précédent de 288 000,00 $"
Canadian Sport Centre Pacific Society,Vancouver (Colombie-Britannique) Canada,08/22/2012,"136 000,00 $",Contribution,Le but du projet est de fournir des outils et des ressources adaptés à la culture afin d'accroître l'activité physique et aider à réduire le risque de maladies chroniques chez les enfants inuits et leurs familles.,"Déclaration tardive, Financement pluriannuel"
Cape Breton Family Resource Coalition,Sydney (Nouvelle-Écosse) Canada,02/24/2012,"1800 000,00 $",Contribution,Le but du projet est d'examiner la santé et le développement d'enfants (âgés de 0 à 6 ans) qui vivent dans des conditions à risque.,"Modification à l'octroi précédent de 900 000,00 $"
Cariboo Friendship Society,Williams Lake (Colombie-Britannique) Canada,03/21/2012,"1380 863,00 $",Contribution,"Le but du projet est de montrer que des stratégies d'intervention en bas âge conçues et contrôlées sur place peuvent donner aux enfants autochtones une image positive d'eux-mèmes, le désir d'apprendre toute leur vie et des possibilités de s'épanouir.","Modification à l'octroi précédent de 723 263,00 $"
Centre de la petite enfance soleil le vent- Rising Sun Childcare Centre,Verdun (Québec) Canada,08/21/2012,"496 500,00 $",Contribution,"Le but du projet est de mettre en oeuvre une stratégie d'intervention précoce favorisant le développement global des enfants autochtones et Inuits d'âge préscolaire, dans la région urbaine de Montréal.",Financement pluriannuel
Centre de santé communautaire Hamilton / Niagara,Welland (Ontario) Canada,03/22/2012,"340 000,00 $",Contribution,Le but du projet est de réduire la fréquence d'un poids anormal à la naissance chez les enfants dont la mère vit dans une situation de risque et d'améliorer la santé des mères et de leurs enfants.,"Modification à l'octroi précédent de 170 000,00 $"
6e Jour Inc. (Centre Marie-Ève),"Saint-Eustache, Québec, Canada",04/20/2012,"134 402,00 $",Contribution,Le but du projet est de favoriser une plus grande accessibilité aux services de nutrition prénatale auprès des femmes enceintes vulnérables de la région.,
Abbotsford Community Services,Abbotsford (Colombie-Britannique) Canada,03/09/2012,"477 600,00 $",Contribution,Le but du projet est de promouvoir une issue normale des grossesses des clientes à risque élevé qui ne recourent généralement pas aux programmes prénatals traditionnels.,"Modification à l'octroi précédent de 238 800,00 $Financement;Durée;Activités"
Aboriginal Head Start Association of British Columbia,Cobble Hill (Colombie-Britannique) Canada,03/23/2012,"998 750,00 $",Contribution,"Le but du projet est d'orienter la planification, l'élaboration, la mise en oeuvre et l'évaluation du Programme d'aide préscolaire aux Autochtones et d'assurer l'uniformité des normes de qualité des programmes.","Modification à l'octroi précédent de 640 950,00 $Financement;Durée;Activités"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,Cochrane (Ontario) Canada,03/21/2012,"808 080,00 $",Contribution,Le but du projet est de maintenir la culture et de promouvoir la santé et le bien-être des Métis et des Autochtones qui vivent à Chapleau.,"Modification à l'octroi précédent de 384 800,00 $Financement;Durée"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,Cochrane (Ontario) Canada,03/19/2012,"1508 258,00 $",Contribution,"Le but du projet est de fournir un programme holistique de préparation à la vie scolaire aux enfants autochtones d'âge préscolaire qui favorise la culture et la langue, l'éducation, la promotion de la santé, la nutrition, et la participation des parents et des familles.","Modification à l'octroi précédent de 758 754,00 $Financement;Durée"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,Cochrane (Ontario) Canada,03/21/2012,"421 900,00 $",Contribution,Le but du projet est d'ofrir des services de soutien familial et des programmes quotidiens et hebdomadaires adaptés à la réalité culturelle des enfants autochtones et leurs familles qui vivent en Kapusasking.,"Modification à l'octroi précédent de 200 900,00 $Financement;Durée"
Aboriginal Women's Association of Prince Edward Island,Charlottetown (Île-du-Prince-Édouard) Canada,03/02/2012,"637 665,00 $",Contribution,"Le but du projet est d'améliorer le support aux enfants autochtones et leurs familles, et d'augmenter leurs connaissances en matière de santé, nutrition, culture et la langue.","Modification à l'octroi précédent de 380 133,00 $Financement;Durée"
Aboriginal Women's Association of Prince Edward Island,Charlottetown (Île-du-Prince-Édouard) Canada,03/02/2012,"80 912,00 $",Contribution,Le but du projet est de réduire le taux de naissances de bébés à poids anormal et d'améliorer la santé des enfants et de leurs mères.,"Modification à l'octroi précédent de 39 372,00 $Financement;Durée"
Accueil Marie-de-L'Incarnation,"Baie-Comeau, Québec, Canada",04/24/2012,"89 834,00 $",Contribution,"Le but du projet est de permettre à des enfants marqués par des déficits développementaux de se trouver un niveau de développement équivalent à leur âge et permettre aux parents de ces enfants de développer, maintenir et renforcer leurs compétences parentales.",
Accueil pour Immigrants et Réfugiés du Sud-Ouest de Montréal Centre Prisme,"LaSalle, Québec, Canada",04/30/2012,"81 858,00 $",Contribution,"Le but du projet est de fournir un service de répit pour les parents, un programme de stimulation pour les enfants, et un programme de motivation parent/enfant.",
Actions Sida Côte-Nord,"Sept-Îles, Québec, Canada",04/02/2012,"140 000,00 $",Contribution,Le but du projet est d'accroître la sensibilisation et la prévention du VIH/sida et des infections transmises sexuellement chez les personnes vulnérables dans la région de la Côte-Nord.,
Adolescent's Family Support Services of Niagara,Welland (Ontario) Canada,03/22/2012,"1526 200,00 $",Contribution,Le but du projet est d'appuyer les familles qui ont des enfants de la naissance à l'âge de six ans qui vivent dans des conditions à risque.,"Modification à l'octroi précédent de 765 600,00 $Financement;Durée"
Adolescent's Family Support Services of Niagara,Welland (Ontario) Canada,03/22/2012,"385 000,00 $",Contribution,Le but du projet est de réduire la fréquence d'un poids anormal à la naissance chez les enfants dont la mère vit dans une situation de risque et d'améliorer la santé des mères et de leurs enfants.,"Modification à l'octroi précédent de 195 000,00 $Financement;Durée"
Adventure Place,Toronto (Ontario) Canada,03/19/2012,"1034 400,00 $",Contribution,Le but du projet est d'appuyer les familles qui ont des enfants de la naissance à l'âge de six ans qui vivent dans des conditions à risque.,"Modification à l'octroi précédent de 517 200,00 $Financement;Durée"
Africans in Partnership Against AIDS,Toronto (Ontario) Canada,03/30/2012,"168 500,00 $",Contribution,"Le but du projet est de sensibiliser et d'accroître les connaissances des hommes africains de la région du Grand Toronto qui viennent de pays où le VIH/sida est endémique, au sujet de l'infection par le VIH et de la prévention.",Déclaration tardive
Agence OMETZ,"Montréal, Québec, Canada",04/16/2012,"43 530,00 $",Contribution,Le but du projet est de promouvoir le développement optimal de l'enfant et d'offrir aux familles les plus vulnérables le soutien nécessaire pour prévenir les problèmes d'adaptation.,
Aide-Parents Plus inc.,"Jonquière, Québec, Canada",05/04/2012,"133 784,00 $",Contribution,"Le but du projet est de fournir un soutien pour les familles vulnérables, promouvoir le développement global de l'enfant, et améliorer les compétences parentales.",
"AIDS Committee of Cambridge, Kitchener, Waterloo and Area",Kitchener (Ontario) Canada,03/30/2012,"160 000,00 $",Contribution,Le but du projet est de sensibiliser et d'accroître les connaissances liées à la prévention du VIH/sida chez les hommes gais et les hommes qui ont des relations sexuelles avec d'autres hommes dans la région de Waterloo.,Déclaration tardive
AIDS Committee of Guelph and Wellington County,Guelph (Ontario) Canada,03/14/2012,"146 290,00 $",Contribution,"Le but du projet est de sensibiliser davantage la population de la région de Guelph et du comté de Wellington à l'homophobie et son incidence sur le VIH/sida et réduire l'homophobie intériorisée chez les gais, les bisexuels, les personnes bi-spirituelles et les hommes ayant des relations sexuelles avec d'autres hommes.",Déclaration tardive
AIDS Committee of Guelph and Wellington County,Guelph (Ontario) Canada,03/13/2012,"157 246,00 $",Contribution,"Le but du projet est d'augmenter les connaissances relatives au VIH/sida et à la santé sexuelle parmi les lesbiennes, gays, bisexuels et transgenres (LGBT) dans les collectivités rurales, d'accroître l'accès à l'information au sujet du VIH/sida et de la santé sexuelle et mentale parmi les jeunes LGBT et d'améliorer la qualité des soins en matière de VIH/sida à l'intention des personnes LGBT qui vivent avec le VIH/sida ou qui sont à risque de contracter le VIH/sida.",Déclaration tardive
A Family Place/ Le Cercle Familial Inc.,Miramichi (Nouveau-Brunswick) Canada,03/22/2012,"680 000,00 $",Contribution,Le but du projet est de livrer des programmes qui adressent la santé et le développement d'enfants (âgés de 0 à 6 ans) qui vivent dans des conditions à risque.,"Modification à l'octroi précédent de 340 000,00 $"
Aboriginal Health & Wellness Centre of Winnipeg Inc.,Winnipeg (Manitoba) Canada,02/23/2012,"1184 120,00 $",Contribution,Le but du projet est de soutenir un programme en garderie pour les enfants autochtones âgés de deux à cinq ans.,"Modification à l'octroi précédent de 592 060,00 $Financement;Durée"
Aboriginal Health & Wellness Centre of Winnipeg Inc.,Winnipeg (Manitoba) Canada,02/23/2012,"1351 236,00 $",Contribution,Le but du projet est de donner accès à des services culturellement adéquats pour les familles autochtones.,"Modification à l'octroi précédent de 675 618,00 $Financement;Durée"
AFS Aboriginal Family Service Centre Inc.,Regina (Saskatchewan) Canada,03/01/2012,"2294 928,00 $",Contribution,Le but du projet est d'offrir une éducation préscolaire de qualité aux enfants autochtones âgés de 3 et 4 ans.,"Modification à l'octroi précédent de 1 263 964,00 $Financement;Durée"
AIDS Coalition of Cape Breton,Sydney (Nouvelle-Écosse) Canada,03/27/2012,"315 578,00 $",Contribution,Le but du projet est d'accroître l'accès aux services de soutien des personnes atteintes du VIH/sida et de mieux faire connaître à ces personnes les traitements et les mesures de soutien possibles.,
AIDS Coalition of Nova Scotia,Halifax (Nouvelle-Écosse) Canada,03/26/2012,"500 000,00 $",Contribution,Le but du projet est d'accroître la sensibilisation pour la prévention du VIH/sida et d'accroître l'accès aux services pour les personnes vivant avec le VIH/sida.,
AIDS Committee of Newfoundland and Labrador,St. John's (Terre-Neuve-et-Labrador) Canada,03/22/2012,"398 300,00 $",Contribution,"Le but du projet est d'accroître la sensibilisation pour la prévention du VIH/sida chez les jeunes à risque et de fournir un accès continu aux programmes d'éducation, de soins, de traitements et de soutien aux personnes atteintes du VIH/sida.",
AIDS PEI Community Support Group Inc.,Charlottetown (Île-du-Prince-Édouard) Canada,03/21/2012,"240 460,00 $",Contribution,Le but du projet est d'accroître la sensibilisation à la santé physique et mentale et d'accroître l'accès aux services de soutien pour les populations prioritaires dans les zones rurales en ce qui concerne la prévention et la transmission du VIH/sida.,
"AIDS Saint John, Inc.",Saint John (Nouveau-Brunswick) Canada,03/21/2012,"223 302,00 $",Contribution,"Le but du projet est d'accroître l'accès aux programmes de soutien et services de prévention du VIH/sida pour les populations prioritaires, et d'accroître la sensibilisation aux mesures de soins, de traitements et de soutien chez les personnes vivant avec le VIH/sida.",
Al Ritchie Community Association Inc.,Regina (Saskatchewan) Canada,03/01/2012,"460 374,00 $",Contribution,Le but du projet est d'offrir un milieu sécuritaire et favorable aux enfants âgés de 6 ans et moins et à leurs familles qui vivent dans un quartier isolé de Regina.,"Modification à l'octroi précédent de 212 765,00 $Financement;Durée"
Alberta Community Council on HIV,Edmonton (Alberta) Canada,03/13/2012,"1695 504,00 $",Contribution,"Le but du projet est d'accroître les services aux personnes vivant avec ou à risque de contracter le VIH/sida et de fournir une approche coordonnée, efficace et viable à la prévention du VIH/sida en Alberta.",
ALDERGROVE NEIGHBOURHOOD SERVICES SOCIETY,Aldergrove (Colombie-Britannique) Canada,01/11/2012,"274 868,00 $",Contribution,Le but du projet est de promouvoir une issue normale des grossesses des clientes à risque élevé qui ne recourent généralement pas aux programmes prénatals traditionnels.,"Modification à l'octroi précédent de 240 228,00 $Financement"
"Andrews Street Family Centre, Inc.",Winnipeg (Manitoba) Canada,03/01/2012,"930 676,00 $",Contribution,"Le but du projet est d'augmenter les services offerts aux enfants vivant dans la pauvreté, hausser les capacités de développement des jeunes enfants, améliorer les compétences parentales et le soutien familial et offrir une approche plus coordonnée à la prestation de service.","Modification à l'octroi précédent de 465 338,00 $Financement;Durée"
"Andrews Street Family Centre, Inc.",Winnipeg (Manitoba) Canada,03/01/2012,"1212 108,00 $",Contribution,Le but du projet est de mettre sur pied le Programme d'aide préscolaire destiné aux enfants autochtones et à leur famille et de veiller à ce que le programme soit adapté à la culture.,"Modification à l'octroi précédent de 638 554,00 $Financement;Durée"
Anna's House Inc.,Steinbach (Manitoba) Canada,03/13/2012,"691 484,00 $",Contribution,Le but du projet est d'offrir une gamme d'activités intégrées et de venir en aide aux familles vulnérables pendant les périodes prénatale et post-natale.,"Modification à l'octroi précédent de 365 462,00 $Financement;Durée"
Awasisak Headstart Incorporated,Cumberland House (Saskatchewan) Canada,03/13/2012,"1165 500,00 $",Contribution,Le but du projet est d'offrir un soutien et un programme d'intervention précoce auprès des enfants autochtones d'âge préscolaire.,"Modification à l'octroi précédent de 585 000,00 $Financement;Durée"
Beauval Aboriginal Headstart Inc.,Beauval (Saskatchewan) Canada,03/06/2012,"217 142,00 $",Contribution,"Le but du projet est d'offrir une formation parentale, un soutien et des services d'extension pour les familles autochtones ayant des enfants 0-6 ans.","Modification à l'octroi précédent de 64 000,00 $Financement;Durée"
Beauval Aboriginal Headstart Inc.,Beauval (Saskatchewan) Canada,03/06/2012,"876 880,00 $",Contribution,"Le but du projet est d'offrir aux enfants autochtones un avenir meilleur en leur offrant un programme approprié à leur culture qui comprend un volet éducatif, des services linguistiques et de santé, ainsi que des services de soutien des parents et des familles.","Modification à l'octroi précédent de 439 260,00 $Financement;Durée"
Border City Metis Society Inc.,Lloydminster (Saskatchewan) Canada,03/06/2012,"1096 536,00 $",Contribution,"Le but du projet est d'offrir aux enfants autochtones âgés de 3 et 4 ans un programme conçu pour répondre aux besoins scolaires et culturels des familles et d'offrir des possibilités d'améliorer le développement social, affectif, physique et intellectuel des enfants.","Modification à l'octroi précédent de 587 236,00 $Financement;Durée"
Brandon Friendship Centre,Brandon (Manitoba) Canada,03/12/2012,"2156 200,00 $",Contribution,Le but du projet est d'élaborer un Programme d'aide préscolaire pour les enfants autochtones et leur famille et d'assurer que le programme est approprié à la culture.,"Modification à l'octroi précédent de 1 090 600,00 $Financement;Durée"
Aboriginal Head Start Association of British Columbia (AHSABC),Cobble Hill (Colombie-Britannique) Canada,10/21/2011,"497 016,00 $",Contribution,"Le but du projet est d'orienter la planification, l'élaboration, la mise en oeuvre et l'évaluation du Programme d'aide préscolaire aux Autochtones et d'assurer l'uniformité des normes de qualité des programmes.","Modification à l'octroi précédent de 457 524,00 $Financement;Activités"
Aboriginal Head Start Association of British Columbia (AHSABC),Cobble Hill (Colombie-Britannique) Canada,10/31/2011,"640 950,00 $",Contribution,"Le but du projet est d'orienter la planification, l'élaboration, la mise en oeuvre et l'évaluation du Programme d'aide préscolaire aux Autochtones et d'assurer l'uniformité des normes de qualité des programmes.","Modification à l'octroi précédent de 497 016,00 $Financement;Activités"
Action for Healthy Communities Society of Edmonton,Edmonton (Alberta) Canada,11/14/2011,"107 915,00 $",Contribution,Le but du projet est d'améliorer les connaissances et les habitudes associées au choix d'aliments sains et favoriser la pratique régulière d'exercice auprès des enfants et des jeunes plus à risque des communautés d'Edmonton.,Financement pluriannuel
"ASSOCIATION CANADIENNE POUR LA SANTÉ MENTALE, FILIALE DE DURHAM",Oshawa (Ontario) Canada,06/29/2011,"190 274,00 $",Contribution,"Le but du projet est de planifier, mettre en oeuvre et évaluer un programme éducatif pilote pour la prévention et la gestion du diabète chez les personnes atteintes d'une maladie mentale qui vivent dans la région de Durham ou d'autres régions du centre-est de l'Ontario.",Déclaration tardive
Association of Neighborhood Houses of British Columbia,Vancouver (Colombie-Britannique) Canada,11/21/2011,"658 805,00 $",Contribution,"Le but du projet est d'appuyer la santé et le bien-être des enfants, depuis la conception jusqu'à six ans, et leurs familles.","Modification à l'octroi précédent de 561 816,00 $Financement;Activités"
Brandon Friendship Centre,Brandon (Manitoba) Canada,11/28/2011,"1090 600,00 $",Contribution,Le but du projet est d'élaborer un Programme d'aide préscolaire pour les enfants autochtones et leur famille et d'assurer que le programme est approprié à la culture.,"Modification à l'octroi précédent de 1 050 600,00 $Financement"
Canadian Working Group on HIV & Rehabilitation,Toronto (Ontario) Canada,11/17/2011,"253 365,00 $",Contribution,"Le but du projet est d'améliorer la capacité des organismes de lutte contre le sida, des cliniques de santé communautaire, et des professionnels de la réadaptation à reconnaître et à aider les personnes touchées par le VIH/sida qui présentent des signes et des symptômes de dépression.","Modification à l'octroi précédent de 206 800,00 $Financement;Durée"
Centre d'amitié autochtone de Val-d'Or Inc.,Val-d'Or (Québec) Canada,11/24/2011,"1310 929,00 $",Contribution,Le but du projet est de mettre en oeuvre une stratégie d'intervention précoce regroupant un ensemble d'activités favorisant le développement global des enfants autochtones d'âge préscolaire.,"Modification à l'octroi précédent de 1 277 507,00 $Financement;Activités"
CENTRE DE TOXICOMANIE ET DE SANTÉ MENTALE,Toronto (Ontario) Canada,05/26/2011,"200 000,00 $",Contribution,Le but du projet est de mettre en oeuvre un programme d'intervention axée sur le mode de vie qui fait la promotion d'une saine alimentation et de l'activité physique auprès des personnes atteintes d'une maladie mentale grave qui habitent des logements communautaires.,Déclaration tardive
Dalhousie University,Halifax (Nouvelle-Écosse) Canada,12/20/2011,"550 000,00 $",Contribution,Le but du projet est de promouvoir la santé mentale des mères et prévenir la maladie à l'échelle nationale.,Financement pluriannuel
Dauphin Friendship Centre Inc.,Dauphin (Manitoba) Canada,12/06/2011,"698 988,00 $",Contribution,"Le but du projet est d'offrir des services de soutien pour améliorer le développement physique, intéllectuel et spirituel des autochones d'age préscolaire.","Modification à l'octroi précédent de 633 500,00 $Financement"
Dopamine,Montréal (Québec) Canada,10/27/2011,"153 600,00 $",Contribution,Le but du projet est de mobiliser les utilisateurs de drogues (injection et inhalation) afin de promouvoir des comportements sécuritaires en prévention de la transmission de l'hépatite C dans Hochelaga-Maisonneuve.,
Élisabeth Bruyère Research Institute,Ottawa (Ontario) Canada,05/13/2011,"96 884,00 $",Contribution,Le but du projet est d'élaborer un modèle d'autogestion chez les diabétiques qui sera intégré dans une clinique de soins primaires.,Déclaration tardive
"Flin Flon Aboriginal Friendship Centre, Inc.",Flin Flon (Manitoba) Canada,10/26/2011,"583 790,00 $",Contribution,Le but du projet est de fournir un soutien opérationnel en garderie pour les enfants âgés de 2 à 5 ans.,"Modification à l'octroi précédent de 548 790,00 $Financement"
Governors of the University of Calgary,Calgary (Alberta) Canada,11/08/2011,"199 511,00 $",Contribution,Le but du projet est de créer des guides et une trousse pour la mise au point et la mise en œuvre de registres des troubles neurologiques au Canada.,
Hay River Dene Reserve District Education Authority,Hay River (Territoires du Nord-Ouest) Canada,10/14/2011,"396 136,00 $",Contribution,"Le but du projet est de donner un milieu sain, stimulant et polyvalent aux enfants de 3 à 5 ans vivant dans des communautés autochtones et de renforcer et d'améliorer le développement des enfants et les relations parent-enfant.","Modification à l'octroi précédent de 331 136,00 $"
Hinton Friendship Centre Society,Hinton (Alberta) Canada,12/23/2011,"579 767,00 $",Contribution,Le but du projet est de donner aux parents les moyens d'éduquer leurs enfants en harmonie avec leur culture autochtone et la capacité de prendre part à l'éducation de leurs enfants.,"Modification à l'octroi précédent de 553 088,00 $"
HÔPITAL COMMUNAUTAIRE GROVES MEMORIAL,Fergus (Ontario) Canada,05/02/2011,"193 800,00 $",Contribution,Le but du projet est de développer et évaluer un plan de soins communautaires pour le diabète gestationnel à partir de pré-grossesse counselling aux soins post-partum et la prévention du diabète de type 2.,Déclaration tardive
Hôpital Notre-Dame Hospital (Hearst),Hearst (Ontario) Canada,05/18/2011,"178 950,00 $",Contribution,"Le but du projet est de mettre sur pied une unité mobile munie de matériel et d'équipement d'essai pour fournir des renseignements, sensibiliser, dépister le diabète et le prédiabète et évaluer l'état de santé de la population générale, particulièrement les personnes à risque élevé âgées de 40 à 70 ans.",Déclaration tardive
IMPACT HEALTH IMPROVEMENT ACTION SOCIETY OF BRITISH COLUMBIA,Vancouver (Colombie-Britannique) Canada,09/27/2011,"80 000,00 $",Contribution,"Le but du projet est de fournir l'éducation et le dépistage des facteurs de risque visant à la détection précoce et la prévention du diabète, les maladies cardiovasculaires et les troubles mentaux.",Déclaration tardive
Aboriginal Head Start Association of British Columbia (AHSABC),Cobble Hill (Colombie-Britannique) Canada,04/12/2011,"130 470,00 $",Contribution,Le but du projet est  de fournir 72 heures de formation dans le cadre d'un projet pilote concernant les programmes d'alphabétisation adaptés à la culture des familles autochtones.,Déclaration tardive
AIDS Saskatoon Inc.,Saskatoon (Saskatchewan) Canada,07/27/2011,"608 730,00 $",Contribution,Le but du projet est d'offrir un soutien aux personnes atteintes par le VIH ou le SIDA et d'informer la population de l'infection par VIH ou le SIDA et des moyens de la prévenir.,"Modification à l'octroi précédent de 508 730,00 $Financement"
AIDS Saskatoon Inc.,Saskatoon (Saskatchewan) Canada,04/26/2011,"92 296,00 $",Contribution,"Le but du projet est d'informer les jeunes à risque, les Autochtones, les sans-abris, les personnes qui habitent dans le Nord ou dans des régions isolées, les itinérants et les personnes qui vivent dans la rue, sur la prévention de l'hépatite C et de fournir un soutien aux personnes atteintes de l'hépatite C.",Déclaration tardive
ANKORS - AIDS NETWORK OUTREACH AND SUPPORT SOCIETY,Nelson ( Colombie-Britannique) Canada,07/22/2011,"153 516,00 $",Contribution,"Le but du projet est de contribuer à la prévention des infections par l'hépatite C dans la région des Kootenays et d'assister les personnes infectées, affectées ou concernées d'une manière quelconque par l'hépatite C.",
ASSOCIATION POUR LA SANTÉ PUBLIQUE DU QUÉBEC (ASPQ),Montréal (Québec) Canada,05/16/2011,"110 000,00 $",Contribution,"Le but du projet est d'augmenter les connaissances des professionnels de la santé et les femmes de 18-45 ans au sujet des produits, services et méthodes d'amaigrissement et outiller les professionnels pour mieux intervenir dans leur pratique quotidienne auprès des personnes vivant avec le diabète ou à risque élevé de le devenir.",Déclaration tardive
Beauval Aboriginal Headstart Inc.,Beauval (Saskatchewan) Canada,05/26/2011,"60 500,00 $",Contribution,"Le but du projet est d'offrir une formation parentale, un soutien et des services d'extension pour les familles autochtones ayant des enfants 0-6 ans.",Déclaration tardive
Black Creek Community Health Centre,Toronto (Ontario) Canada,09/07/2011,"175 981,00 $",Contribution,"Le but du projet est d'accroître l'accès aux programmes qui favorisent l'autogestion du diabète, promouvoir les choix de vie sains et réduire le risque de complications du diabète.",Financement pluriannuel
Blood Ties Four Directions Centre Society,Whitehorse (Yukon) Canada,05/27/2011,"385 813,00 $",Contribution,Le but du projet est d'offrir de la formation et de l'information de prévention sur le VIH/sida au public et aux personnes qui adoptent des comportements à risque élevé.,"Modification à l'octroi précédent de 346 243,00 $Financement"
Bureau des services jeunesse d'Ottawa,Ottawa (Ontario) Canada,09/01/2011,"186 250,00 $",Contribution,Le but du projet est de sensibiliser davantage les jeunes à risque de la région d'Ottawa aux risques de l'hépatite C et des autres infections transmises sexuellement et par le sang.,
Central Toronto Community Health Centres,Toronto (Ontario) Canada,07/29/2011,"147 000,00 $",Contribution,Le but du projet est d'augmenter le nombre de personnes préoccupées par l'usage de drogues et les problèmes de dépendance pour accéder aux renseignements sur les services de prévention et de traitement dans l'ouest de Toronto.,
Centre Associatif Polyvalent d'Aide Hépatite C (CAPAHC),Montréal (Québec) Canada,04/07/2011,"236 000,00 $",Contribution,Le but du projet est de mettre sur pied une table de concertation en hépatite C au Québec afin de partager les connaissances et la mise en commun des outils et des approches et fournir du soutien à la création de groupes d'entraide pour les personnes affectées dans les régions.,Déclaration tardive
Centre de santé communautaire de South Riverdale,Toronto (Ontario) Canada,07/25/2011,"179 584,00 $",Contribution,"Le but du projet est d'améliorer l'accessibilité des services de prévention, d'éducation et de soutien communautaire pour les tests et traitements pour les personnes utilisant des drogues et ceux qui ont des problèmes de dépendance à Toronto et à Ottawa.",
Centres de santé communautaire de Kingston (Centre de santé pour les jeunes de la rue),Kingston (Ontario) Canada,07/18/2011,"156 230,00 $",Contribution,"Le but du projet est d'accroître l'accessibilité et la capacité des organismes communautaires de Kingston afin qu'ils puissent travailler avec les jeunes de la rue consommant de la drogue et sensibiliser davantage ces jeunes à la prévention, au dépistage et au traitement de l'hépatite C.",
